"BehaviorSpace results (NetLogo 7.0.4)","Lists version 2.0"
"JQIE.nlogox"
"FFFF-to-TTTT"
"08/11/2026 21:58:27:307 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","220","0","160"
"[reporter]","[run number]","use-r-seed?","sim-duration","display-ticks","sat-add","average-employee?","advance-notice?","minimum-hours?","schedule-swaps?","better-pay?","[step]","[0]","[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]","[9]","[10]","[11]","[12]","[13]","[14]","[15]","[16]","[17]","[18]","[19]","[20]","[21]","[22]","[23]","[24]","[25]","[26]","[27]","[28]","[29]","[30]","[31]","[32]","[33]","[34]","[35]","[36]","[37]","[38]","[39]","[40]","[41]","[42]","[43]","[44]","[45]","[46]","[47]"
"KPI-EPI-lists company 0","6","false","365","30","0.2","true","false","false","false","false","366","name","Fashion1","total-customer-visits","27084","total-customers-helped","22663","total-sales-closed","10160","total-employee-revenues","1646776","ATS-for-employee-sales","162.08425196850393","total-non-employee-revenues","51493","ATS-for-non-employee-sales","82.52083333333333","total-gross-revenues","1698269","total-labor-costs","163038.90000000005","cogs","842347","total-profits","855922.4999999995","gross-margin","50.4","EPIs:","","total-earnings","32607.780000000006","total-hours-scheduled","2181.06","total-hours-worked","2173.852","total-idle-time","23632.4","total-misc-task-time","47069.6","total-productivity","48589.4","total-rest-time","16787","total-revenues","329355.2","total-tardy-time","1201","total-sales-closed","2032"
"KPI-EPI-lists company 1","6","false","365","30","0.2","true","false","false","false","false","366","name","Fashion2","total-customer-visits","26963","total-customers-helped","15286","total-sales-closed","6850","total-employee-revenues","965440","ATS-for-employee-sales","140.94014598540147","total-non-employee-revenues","135592","ATS-for-non-employee-sales","82.0774818401937","total-gross-revenues","1101032","total-labor-costs","121580.46000000002","cogs","561993","total-profits","539038.74","gross-margin","49","EPIs:","","total-earnings","24316.092000000004","total-hours-scheduled","1825.8800000000003","total-hours-worked","1801.1920000000005","total-idle-time","18283","total-misc-task-time","26175","total-productivity","52148.2","total-rest-time","14815.8","total-revenues","193088","total-tardy-time","4564.2","total-sales-closed","1370"
"KPI-EPI-lists company 0","7","false","365","30","0.2","true","false","false","false","false","366","name","Fashion1","total-customer-visits","26763","total-customers-helped","22755","total-sales-closed","10092","total-employee-revenues","1640319","ATS-for-employee-sales","162.53656361474435","total-non-employee-revenues","47993","ATS-for-non-employee-sales","82.17979452054794","total-gross-revenues","1688312","total-labor-costs","164427.15000000005","cogs","839752","total-profits","848560.0499999997","gross-margin","50.3","EPIs:","","total-earnings","32885.43000000001","total-hours-scheduled","2199.5799999999995","total-hours-worked","2192.362","total-idle-time","24496.8","total-misc-task-time","48961.4","total-productivity","47056.2","total-rest-time","17146","total-revenues","328063.8","total-tardy-time","977.4","total-sales-closed","2018.4"
"KPI-EPI-lists company 1","7","false","365","30","0.2","true","false","false","false","false","366","name","Fashion2","total-customer-visits","27152","total-customers-helped","15024","total-sales-closed","6678","total-employee-revenues","945021","ATS-for-employee-sales","141.51257861635222","total-non-employee-revenues","139029","ATS-for-non-employee-sales","82.07142857142857","total-gross-revenues","1084050","total-labor-costs","118201.40999999999","cogs","551821","total-profits","532228.5900000002","gross-margin","49.1","EPIs:","","total-earnings","23640.281999999992","total-hours-scheduled","1780.3199999999993","total-hours-worked","1751.1319999999992","total-idle-time","17560.4","total-misc-task-time","25349.2","total-productivity","51029.8","total-rest-time","14403.6","total-revenues","189004.2","total-tardy-time","4685","total-sales-closed","1335.6"
"KPI-EPI-lists company 0","8","false","365","30","0.2","true","false","false","false","false","366","name","Fashion1","total-customer-visits","26969","total-customers-helped","22633","total-sales-closed","10097","total-employee-revenues","1635077","ATS-for-employee-sales","161.93691195404577","total-non-employee-revenues","51228","ATS-for-non-employee-sales","82.6258064516129","total-gross-revenues","1686305","total-labor-costs","163606.80000000002","cogs","838129","total-profits","848176.1999999996","gross-margin","50.3","EPIs:","","total-earnings","32721.360000000008","total-hours-scheduled","2188.7799999999997","total-hours-worked","2181.424","total-idle-time","23982.4","total-misc-task-time","47822.8","total-productivity","48077.8","total-rest-time","16850","total-revenues","327015.4","total-tardy-time","1115.8","total-sales-closed","2019.4"
"KPI-EPI-lists company 1","8","false","365","30","0.2","true","false","false","false","false","366","name","Fashion2","total-customer-visits","27056","total-customers-helped","14753","total-sales-closed","6627","total-employee-revenues","930252","ATS-for-employee-sales","140.37301946582164","total-non-employee-revenues","150019","ATS-for-non-employee-sales","82.33754116355654","total-gross-revenues","1080271","total-labor-costs","119448.54000000002","cogs","551557","total-profits","528714.0600000004","gross-margin","48.9","EPIs:","","total-earnings","23889.708000000006","total-hours-scheduled","1797.3200000000004","total-hours-worked","1769.6080000000002","total-idle-time","17749.4","total-misc-task-time","25687.4","total-productivity","51449","total-rest-time","14580.2","total-revenues","186050.4","total-tardy-time","4891.8","total-sales-closed","1325.4"
"KPI-EPI-lists company 0","9","false","365","30","0.2","true","false","false","false","false","366","name","Fashion1","total-customer-visits","26904","total-customers-helped","22605","total-sales-closed","10205","total-employee-revenues","1647399","ATS-for-employee-sales","161.43057324840765","total-non-employee-revenues","45048","ATS-for-non-employee-sales","81.7568058076225","total-gross-revenues","1692447","total-labor-costs","165017.84999999992","cogs","841997","total-profits","850450.35","gross-margin","50.2","EPIs:","","total-earnings","33003.57000000001","total-hours-scheduled","2207.0200000000004","total-hours-worked","2200.2380000000003","total-idle-time","23989.2","total-misc-task-time","48103.4","total-productivity","48858.6","total-rest-time","16862","total-revenues","329479.8","total-tardy-time","1139","total-sales-closed","2041"
"KPI-EPI-lists company 1","9","false","365","30","0.2","true","false","false","false","false","366","name","Fashion2","total-customer-visits","27017","total-customers-helped","15172","total-sales-closed","6856","total-employee-revenues","965482","ATS-for-employee-sales","140.82292882147024","total-non-employee-revenues","133537","ATS-for-non-employee-sales","81.82414215686275","total-gross-revenues","1099019","total-labor-costs","120048.34499999999","cogs","559656","total-profits","539363.0549999999","gross-margin","49.1","EPIs:","","total-earnings","24009.669","total-hours-scheduled","1803.5199999999998","total-hours-worked","1778.4939999999995","total-idle-time","17900","total-misc-task-time","26083.6","total-productivity","51462","total-rest-time","14590.6","total-revenues","193096.4","total-tardy-time","5015.2","total-sales-closed","1371.2"
"KPI-EPI-lists company 0","10","false","365","30","0.2","true","false","false","false","false","366","name","Fashion1","total-customer-visits","26725","total-customers-helped","22439","total-sales-closed","10036","total-employee-revenues","1618822","ATS-for-employee-sales","161.30151454762853","total-non-employee-revenues","47440","ATS-for-non-employee-sales","82.21837088388214","total-gross-revenues","1666262","total-labor-costs","164723.4","cogs","831228","total-profits","835033.8000000002","gross-margin","50.1","EPIs:","","total-earnings","32944.68","total-hours-scheduled","2204.8799999999997","total-hours-worked","2196.312","total-idle-time","24066.8","total-misc-task-time","48134.6","total-productivity","48452.8","total-rest-time","16905.8","total-revenues","323764.4","total-tardy-time","1231.4","total-sales-closed","2007.2"
"KPI-EPI-lists company 1","10","false","365","30","0.2","true","false","false","false","false","366","name","Fashion2","total-customer-visits","27117","total-customers-helped","14842","total-sales-closed","6723","total-employee-revenues","942999","ATS-for-employee-sales","140.26461401160196","total-non-employee-revenues","135073","ATS-for-non-employee-sales","81.81284070260448","total-gross-revenues","1078072","total-labor-costs","119997.98999999992","cogs","551227","total-profits","526845.2100000001","gross-margin","48.9","EPIs:","","total-earnings","23999.598000000005","total-hours-scheduled","1801.98","total-hours-worked","1777.7479999999996","total-idle-time","17961.4","total-misc-task-time","25312","total-productivity","51978","total-rest-time","14624.8","total-revenues","188599.8","total-tardy-time","4766.6","total-sales-closed","1344.6"
