"BehaviorSpace results (NetLogo 7.0.4)","Lists version 2.0"
"JQIE.nlogox"
"Sat-add-sweep"
"08/09/2026 22:30:03:956 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","220","0","160"
"[reporter]","[run number]","use-r-seed?","sim-duration","display-ticks","average-employee?","sat-add","advance-notice?","minimum-hours?","schedule-swaps?","better-pay?","[step]","[0]","[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]","[9]","[10]","[11]","[12]","[13]","[14]","[15]","[16]","[17]","[18]","[19]","[20]","[21]","[22]","[23]","[24]","[25]","[26]","[27]","[28]","[29]","[30]","[31]","[32]","[33]","[34]","[35]","[36]","[37]","[38]","[39]","[40]","[41]","[42]","[43]","[44]","[45]","[46]","[47]"
"KPI-EPI-lists company 0","6","false","365","30","true","0.05","false","false","false","false","366","name","Fashion1","total-customer-visits","27102","total-customers-helped","22704","total-sales-closed","10185","total-employee-revenues","1651750","ATS-for-employee-sales","162.17476681394209","total-non-employee-revenues","54167","ATS-for-non-employee-sales","83.59104938271605","total-gross-revenues","1705917","total-labor-costs","163939.05","cogs","846306","total-profits","859611.1499999997","gross-margin","50.4","EPIs:","","total-earnings","32787.810000000005","total-hours-scheduled","2192.7200000000007","total-hours-worked","2185.8540000000007","total-idle-time","23898.2","total-misc-task-time","47780.6","total-productivity","48341.4","total-rest-time","16919","total-revenues","330350","total-tardy-time","1061.8","total-sales-closed","2037"
"KPI-EPI-lists company 1","6","false","365","30","true","0.05","false","false","false","false","366","name","Fashion2","total-customer-visits","26860","total-customers-helped","19443","total-sales-closed","8720","total-employee-revenues","1357286","ATS-for-employee-sales","155.6520642201835","total-non-employee-revenues","87828","ATS-for-non-employee-sales","83.24928909952607","total-gross-revenues","1445114","total-labor-costs","123510.82500000004","cogs","701556","total-profits","743557.5749999996","gross-margin","51.5","EPIs:","","total-earnings","24702.165","total-hours-scheduled","1841.4399999999998","total-hours-worked","1829.7899999999995","total-idle-time","17385.4","total-misc-task-time","33593.6","total-productivity","48447.6","total-rest-time","14167.4","total-revenues","271457.2","total-tardy-time","1923.2","total-sales-closed","1744"
"KPI-EPI-lists company 0","7","false","365","30","true","0.05","false","false","false","false","366","name","Fashion1","total-customer-visits","26879","total-customers-helped","22726","total-sales-closed","10329","total-employee-revenues","1686120","ATS-for-employee-sales","163.24135927969795","total-non-employee-revenues","47233","ATS-for-non-employee-sales","82.71978984238179","total-gross-revenues","1733353","total-labor-costs","164991.14999999994","cogs","858332","total-profits","875020.6500000003","gross-margin","50.5","EPIs:","","total-earnings","32998.23","total-hours-scheduled","2206.6599999999994","total-hours-worked","2199.8819999999996","total-idle-time","24101.2","total-misc-task-time","48954.2","total-productivity","47749.2","total-rest-time","17076","total-revenues","337224","total-tardy-time","1025.8","total-sales-closed","2065.8"
"KPI-EPI-lists company 1","7","false","365","30","true","0.05","false","false","false","false","366","name","Fashion2","total-customer-visits","27032","total-customers-helped","19703","total-sales-closed","8829","total-employee-revenues","1388978","ATS-for-employee-sales","157.31996828632913","total-non-employee-revenues","82900","ATS-for-non-employee-sales","81.59448818897638","total-gross-revenues","1471878","total-labor-costs","123114.60000000008","cogs","711866","total-profits","760012.1999999998","gross-margin","51.6","EPIs:","","total-earnings","24622.920000000006","total-hours-scheduled","1834.0200000000004","total-hours-worked","1823.92","total-idle-time","17453.4","total-misc-task-time","33795.8","total-productivity","47990.4","total-rest-time","14074.6","total-revenues","277795.6","total-tardy-time","1739.2","total-sales-closed","1765.8"
"KPI-EPI-lists company 0","8","false","365","30","true","0.05","false","false","false","false","366","name","Fashion1","total-customer-visits","26898","total-customers-helped","22567","total-sales-closed","10112","total-employee-revenues","1637041","ATS-for-employee-sales","161.8909216772152","total-non-employee-revenues","52062","ATS-for-non-employee-sales","82.50713153724247","total-gross-revenues","1689103","total-labor-costs","164672.55","cogs","840314","total-profits","848789.2499999998","gross-margin","50.3","EPIs:","","total-earnings","32934.51","total-hours-scheduled","2203.2600000000007","total-hours-worked","2195.6340000000005","total-idle-time","24129.4","total-misc-task-time","48444.2","total-productivity","48101.2","total-rest-time","16949","total-revenues","327408.2","total-tardy-time","1154.2","total-sales-closed","2022.4"
"KPI-EPI-lists company 1","8","false","365","30","true","0.05","false","false","false","false","366","name","Fashion2","total-customer-visits","27005","total-customers-helped","19578","total-sales-closed","8746","total-employee-revenues","1365686","ATS-for-employee-sales","156.14978275783216","total-non-employee-revenues","86782","ATS-for-non-employee-sales","82.80725190839695","total-gross-revenues","1452468","total-labor-costs","121768.78500000005","cogs","702756","total-profits","749712.0149999993","gross-margin","51.6","EPIs:","","total-earnings","24353.75699999999","total-hours-scheduled","1812.6599999999992","total-hours-worked","1803.9819999999988","total-idle-time","17329.4","total-misc-task-time","32755.8","total-productivity","48092.8","total-rest-time","13948.8","total-revenues","273137.2","total-tardy-time","1719","total-sales-closed","1749.2"
"KPI-EPI-lists company 0","9","false","365","30","true","0.05","false","false","false","false","366","name","Fashion1","total-customer-visits","27207","total-customers-helped","23044","total-sales-closed","10319","total-employee-revenues","1678674","ATS-for-employee-sales","162.67797267177053","total-non-employee-revenues","48470","ATS-for-non-employee-sales","82.43197278911565","total-gross-revenues","1727144","total-labor-costs","163703.25000000006","cogs","854561","total-profits","872583.1499999998","gross-margin","50.5","EPIs:","","total-earnings","32740.650000000005","total-hours-scheduled","2189.2999999999997","total-hours-worked","2182.71","total-idle-time","23737.6","total-misc-task-time","47677.4","total-productivity","48289.4","total-rest-time","16979.6","total-revenues","335734.8","total-tardy-time","973.4","total-sales-closed","2063.8"
"KPI-EPI-lists company 1","9","false","365","30","true","0.05","false","false","false","false","366","name","Fashion2","total-customer-visits","26955","total-customers-helped","19814","total-sales-closed","8884","total-employee-revenues","1397678","ATS-for-employee-sales","157.32530391715443","total-non-employee-revenues","83147","ATS-for-non-employee-sales","81.83759842519684","total-gross-revenues","1480825","total-labor-costs","123315.61499999996","cogs","715646","total-profits","765179.3849999995","gross-margin","51.7","EPIs:","","total-earnings","24663.123","total-hours-scheduled","1835.8799999999997","total-hours-worked","1826.898","total-idle-time","17869","total-misc-task-time","33594.2","total-productivity","47954.8","total-rest-time","14248.6","total-revenues","279535.6","total-tardy-time","1687.4","total-sales-closed","1776.8"
"KPI-EPI-lists company 0","10","false","365","30","true","0.05","false","false","false","false","366","name","Fashion1","total-customer-visits","27201","total-customers-helped","22908","total-sales-closed","10301","total-employee-revenues","1676304","ATS-for-employee-sales","162.7321619260266","total-non-employee-revenues","46473","ATS-for-non-employee-sales","82.69217081850533","total-gross-revenues","1722777","total-labor-costs","162988.50000000006","cogs","852099","total-profits","870677.7000000004","gross-margin","50.5","EPIs:","","total-earnings","32597.700000000004","total-hours-scheduled","2179.4800000000005","total-hours-worked","2173.1800000000003","total-idle-time","24164.2","total-misc-task-time","47507","total-productivity","47702.8","total-rest-time","16964.2","total-revenues","335260.8","total-tardy-time","989.6","total-sales-closed","2060.2"
"KPI-EPI-lists company 1","10","false","365","30","true","0.05","false","false","false","false","366","name","Fashion2","total-customer-visits","26741","total-customers-helped","19318","total-sales-closed","8664","total-employee-revenues","1357183","ATS-for-employee-sales","156.64623730378577","total-non-employee-revenues","87495","ATS-for-non-employee-sales","82.23214285714286","total-gross-revenues","1444678","total-labor-costs","121661.99999999999","cogs","699533","total-profits","745144.7999999999","gross-margin","51.6","EPIs:","","total-earnings","24332.4","total-hours-scheduled","1811.4600000000003","total-hours-worked","1802.4","total-idle-time","17313.6","total-misc-task-time","33122.2","total-productivity","47611.8","total-rest-time","13953.2","total-revenues","271436.6","total-tardy-time","1926.2","total-sales-closed","1732.8"
